,Infected asymptomatic,Infected symptomatic,Critical Cases,Deceased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,90.0,21.0,0.0,0.0,8544391.0,0.0,24.0
32,116.0,27.0,1.0,0.0,8544351.0,0.0,32.0
33,149.0,35.0,1.0,0.0,8544300.0,0.0,42.0
34,192.0,46.0,1.0,0.0,8544233.0,0.0,55.0
35,247.0,59.0,1.0,0.0,8544148.0,0.0,72.0
36,317.0,76.0,2.0,0.0,8544038.0,0.0,93.0
37,407.0,98.0,2.0,0.0,8543898.0,0.0,121.0
38,523.0,126.0,3.0,0.0,8543717.0,0.0,157.0
39,672.0,162.0,4.0,1.0,8543485.0,0.0,203.0
40,862.0,209.0,5.0,1.0,8543188.0,0.0,263.0
41,1107.0,268.0,6.0,1.0,8542806.0,0.0,339.0
42,1421.0,344.0,8.0,1.0,8542316.0,0.0,436.0
43,1824.0,442.0,11.0,1.0,8541687.0,0.0,562.0
44,2341.0,568.0,14.0,2.0,8540880.0,0.0,723.0
45,3004.0,729.0,17.0,2.0,8539845.0,0.0,930.0
46,3854.0,935.0,22.0,3.0,8538517.0,0.0,1195.0
47,4945.0,1201.0,29.0,4.0,8536814.0,0.0,1535.0
48,6343.0,1541.0,37.0,5.0,8534629.0,0.0,1972.0
49,8136.0,1977.0,47.0,7.0,8531828.0,0.0,2533.0
50,10434.0,2536.0,61.0,9.0,8528237.0,0.0,3252.0
51,13376.0,3253.0,78.0,11.0,8523636.0,0.0,4173.0
52,17144.0,4171.0,100.0,14.0,8517742.0,0.0,5355.0
53,21965.0,5348.0,128.0,18.0,8510198.0,0.0,6871.0
54,28128.0,6854.0,164.0,23.0,8500546.0,0.0,8812.0
55,35997.0,8782.0,210.0,30.0,8488210.0,0.0,11298.0
56,46032.0,11245.0,269.0,38.0,8472462.0,0.0,14481.0
57,58806.0,14391.0,345.0,49.0,8452385.0,0.0,18551.0
58,75030.0,18402.0,442.0,63.0,8426838.0,0.0,23752.0
59,95576.0,23508.0,565.0,81.0,8394406.0,0.0,30391.0
60,121501.0,29993.0,723.0,103.0,8353355.0,0.0,38851.0
61,154065.0,38205.0,925.0,132.0,8301589.0,0.0,49612.0
62,194728.0,48567.0,1181.0,170.0,8236616.0,0.0,63266.0
63,245140.0,61584.0,1505.0,217.0,8155541.0,0.0,80540.0
64,307072.0,77844.0,1917.0,277.0,8055105.0,0.0,102312.0
65,382308.0,98015.0,2435.0,354.0,7931788.0,0.0,129627.0
66,487811.0,123489.0,3087.0,452.0,7765649.0,0.0,164039.0
67,615398.0,155925.0,3911.0,575.0,7561130.0,0.0,207587.0
68,766176.0,196400.0,4955.0,732.0,7313941.0,0.0,262323.0
69,939398.0,245860.0,6270.0,931.0,7021615.0,0.0,330454.0
70,1131787.0,304933.0,7912.0,1183.0,6684495.0,0.0,414217.0
71,1337150.0,373729.0,9939.0,1500.0,6306513.0,0.0,515696.0
72,1546540.0,451649.0,12404.0,1898.0,5895427.0,0.0,636608.0
73,1749122.0,537266.0,15353.0,2394.0,5462300.0,0.0,778092.0
74,1933613.0,628343.0,18816.0,3007.0,5020218.0,0.0,940529.0
75,2089955.0,721976.0,22804.0,3756.0,4582577.0,0.0,1123459.0
76,2210716.0,814874.0,27304.0,4661.0,4161388.0,0.0,1325583.0
77,2291880.0,903695.0,32278.0,5742.0,3766062.0,0.0,1544871.0
78,2332882.0,985366.0,37662.0,7017.0,3402873.0,0.0,1778726.0
79,2336070.0,1057344.0,43374.0,8501.0,3075047.0,0.0,2024191.0
80,2305839.0,1117763.0,49315.0,10207.0,2783265.0,0.0,2278139.0
81,2247726.0,1165481.0,55376.0,12142.0,2526351.0,0.0,2537451.0
82,2167633.0,1200046.0,61444.0,14313.0,2301940.0,0.0,2799151.0
83,2071259.0,1221601.0,67410.0,16719.0,2107037.0,0.0,3060500.0
84,1963749.0,1230764.0,73171.0,19356.0,1938425.0,0.0,3319061.0
85,1849519.0,1228499.0,78634.0,22219.0,1792933.0,0.0,3572722.0
86,1732204.0,1216000.0,83719.0,25294.0,1667598.0,0.0,3819712.0
87,1614689.0,1194584.0,88361.0,28569.0,1559740.0,0.0,4058584.0
88,1499183.0,1165613.0,92510.0,32027.0,1466992.0,0.0,4288202.0
89,1387319.0,1130427.0,96128.0,35650.0,1387294.0,0.0,4507710.0
90,1280241.0,1090300.0,99195.0,39418.0,1318871.0,0.0,4716503.0
91,1178709.0,1046411.0,101700.0,43309.0,1260203.0,0.0,4914196.0
92,1083168.0,999823.0,103644.0,47304.0,1209994.0,0.0,5100593.0
93,993831.0,951479.0,105039.0,51380.0,1167141.0,0.0,5275657.0
94,910724.0,902196.0,105904.0,55517.0,1130703.0,0.0,5439483.0
95,833746.0,852670.0,106264.0,59694.0,1099879.0,0.0,5592274.0
96,762697.0,803486.0,106150.0,63892.0,1073986.0,0.0,5734317.0
97,697315.0,755122.0,105595.0,68092.0,1052437.0,0.0,5865967.0
98,637294.0,707964.0,104636.0,72277.0,1034730.0,0.0,5987627.0
99,582308.0,662311.0,103311.0,76431.0,1020431.0,0.0,6099735.0
100,532017.0,618391.0,101659.0,80540.0,1009167.0,0.0,6202753.0
101,486083.0,576369.0,99717.0,84590.0,1000612.0,0.0,6297156.0
102,444174.0,536355.0,97525.0,88569.0,994482.0,0.0,6383422.0
103,405970.0,498412.0,95117.0,92469.0,990531.0,0.0,6462028.0
104,371166.0,462569.0,92528.0,96279.0,988541.0,0.0,6533444.0
105,339474.0,428822.0,89791.0,99992.0,988320.0,0.0,6598127.0
106,310626.0,397142.0,86937.0,103602.0,989700.0,0.0,6656521.0
107,284371.0,367481.0,83993.0,107103.0,992529.0,0.0,6709050.0
108,260478.0,339776.0,80985.0,110492.0,996673.0,0.0,6756123.0
109,238733.0,313953.0,77937.0,113765.0,1002014.0,0.0,6798125.0
110,218940.0,289929.0,74871.0,116921.0,1008444.0,0.0,6835422.0
111,200921.0,267617.0,71804.0,119958.0,1015866.0,0.0,6868361.0
112,184512.0,246926.0,68754.0,122876.0,1024193.0,0.0,6897265.0
113,169564.0,227764.0,65736.0,125675.0,1033348.0,0.0,6922440.0
114,155940.0,210040.0,62761.0,128355.0,1043260.0,0.0,6944171.0
115,143519.0,193662.0,59842.0,130919.0,1053863.0,0.0,6962722.0
116,132189.0,178544.0,56987.0,133367.0,1065099.0,0.0,6978342.0
117,121848.0,164599.0,54204.0,135703.0,1076914.0,0.0,6991259.0
118,112404.0,151746.0,51500.0,137928.0,1089261.0,0.0,7001689.0
119,103775.0,139907.0,48879.0,140045.0,1102095.0,0.0,7009827.0
120,95885.0,129007.0,46345.0,142058.0,1115374.0,0.0,7015858.0
121,88668.0,118977.0,43901.0,143970.0,1129062.0,0.0,7019950.0
122,82060.0,109751.0,41549.0,145783.0,1143124.0,0.0,7022261.0
123,76007.0,101266.0,39290.0,147502.0,1157529.0,0.0,7022933.0
124,70458.0,93466.0,37125.0,149130.0,1172248.0,0.0,7022100.0
125,65369.0,86296.0,35053.0,150670.0,1187255.0,0.0,7019885.0
126,60697.0,79706.0,33073.0,152126.0,1202525.0,0.0,7016401.0
127,56406.0,73649.0,31184.0,153502.0,1218035.0,0.0,7011750.0
128,52462.0,68083.0,29385.0,154801.0,1233765.0,0.0,7006031.0
129,48834.0,62967.0,27674.0,156027.0,1249696.0,0.0,6999329.0
130,45495.0,58265.0,26047.0,157183.0,1265810.0,0.0,6991726.0
131,42420.0,53943.0,24504.0,158272.0,1282091.0,0.0,6983297.0
132,39585.0,49970.0,23040.0,159298.0,1298523.0,0.0,6974110.0
133,36971.0,46316.0,21655.0,160264.0,1315093.0,0.0,6964228.0
134,34559.0,42955.0,20344.0,161173.0,1331788.0,0.0,6953708.0
135,32331.0,39863.0,19104.0,162028.0,1348596.0,0.0,6942605.0
136,30272.0,37018.0,17934.0,162831.0,1365506.0,0.0,6930966.0
137,28368.0,34399.0,16829.0,163586.0,1382508.0,0.0,6918837.0
138,26606.0,31987.0,15788.0,164295.0,1399591.0,0.0,6906260.0
139,24975.0,29765.0,14806.0,164961.0,1416749.0,0.0,6893271.0
140,23464.0,27718.0,13882.0,165587.0,1433971.0,0.0,6879906.0
141,22062.0,25830.0,13013.0,166173.0,1451251.0,0.0,6866197.0
142,20762.0,24089.0,12195.0,166724.0,1468582.0,0.0,6852174.0
143,19556.0,22483.0,11426.0,167240.0,1485958.0,0.0,6837864.0
144,18435.0,21000.0,10704.0,167724.0,1503371.0,0.0,6823292.0
145,17393.0,19631.0,10026.0,168178.0,1520818.0,0.0,6808481.0
