,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,25679.0,5804.0,127.0,16.0,8505983.0,0.0,6918.0
52,33911.0,7672.0,168.0,21.0,8493604.0,0.0,9150.0
53,44744.0,10137.0,222.0,28.0,8477296.0,0.0,12099.0
54,58973.0,13385.0,294.0,37.0,8455847.0,0.0,15991.0
55,77617.0,17658.0,389.0,49.0,8427695.0,0.0,21120.0
56,101965.0,23267.0,513.0,65.0,8390843.0,0.0,27873.0
57,133627.0,30614.0,677.0,86.0,8342776.0,0.0,36747.0
58,174569.0,40202.0,893.0,114.0,8280369.0,0.0,48381.0
59,227130.0,52661.0,1175.0,150.0,8199823.0,0.0,63588.0
60,293980.0,68757.0,1545.0,198.0,8096658.0,0.0,83389.0
61,307768.0,86299.0,2018.0,261.0,8040714.0,0.0,107467.0
62,324012.0,102706.0,2582.0,342.0,7980264.0,0.0,134620.0
63,342407.0,118350.0,3223.0,445.0,7915298.0,0.0,164804.0
64,362690.0,133523.0,3929.0,572.0,7845801.0,0.0,198013.0
65,384630.0,148452.0,4690.0,725.0,7771763.0,0.0,234267.0
66,408011.0,163314.0,5503.0,906.0,7693190.0,0.0,273604.0
67,432628.0,178240.0,6361.0,1117.0,7610106.0,0.0,316075.0
68,458278.0,193323.0,7264.0,1359.0,7522562.0,0.0,361741.0
69,484758.0,208627.0,8208.0,1635.0,7430639.0,0.0,410660.0
70,511856.0,224184.0,9194.0,1945.0,7334456.0,0.0,462892.0
71,539356.0,240006.0,10219.0,2291.0,7234165.0,0.0,518489.0
72,567031.0,256081.0,11284.0,2675.0,7129963.0,0.0,577494.0
73,594646.0,272378.0,12388.0,3097.0,7022084.0,0.0,639934.0
74,621960.0,288848.0,13530.0,3561.0,6910804.0,0.0,705824.0
75,648728.0,305429.0,14709.0,4066.0,6796438.0,0.0,775157.0
76,674704.0,322044.0,15924.0,4614.0,6679336.0,0.0,847905.0
77,699643.0,338603.0,17173.0,5208.0,6559880.0,0.0,924020.0
78,723309.0,355011.0,18454.0,5847.0,6438478.0,0.0,1003428.0
79,745475.0,371163.0,19763.0,6533.0,6315563.0,0.0,1086030.0
80,765932.0,386948.0,21097.0,7268.0,6191578.0,0.0,1171703.0
81,784489.0,402254.0,22453.0,8053.0,6066978.0,0.0,1260299.0
82,800980.0,416971.0,23825.0,8887.0,5942218.0,0.0,1351647.0
83,815262.0,430985.0,25209.0,9772.0,5817746.0,0.0,1445552.0
84,827226.0,444193.0,26598.0,10709.0,5694002.0,0.0,1541799.0
85,836790.0,456494.0,27988.0,11697.0,5571404.0,0.0,1640153.0
86,843906.0,467797.0,29371.0,12737.0,5450351.0,0.0,1740365.0
87,848556.0,478020.0,30742.0,13829.0,5331211.0,0.0,1842169.0
88,850752.0,487094.0,32093.0,14972.0,5214324.0,0.0,1945292.0
89,850537.0,494961.0,33418.0,16166.0,5099994.0,0.0,2049451.0
90,847979.0,501577.0,34709.0,17409.0,4988493.0,0.0,2154360.0
91,843170.0,506912.0,35961.0,18701.0,4880052.0,0.0,2259731.0
92,836223.0,510949.0,37166.0,20041.0,4774871.0,0.0,2365277.0
93,827269.0,513684.0,38319.0,21426.0,4673112.0,0.0,2470717.0
94,816453.0,515127.0,39414.0,22855.0,4574902.0,0.0,2575776.0
95,803930.0,515301.0,40444.0,24325.0,4480338.0,0.0,2680189.0
96,789860.0,514239.0,41406.0,25835.0,4389485.0,0.0,2783701.0
97,774412.0,511983.0,42295.0,27382.0,4302382.0,0.0,2886073.0
98,757751.0,508587.0,43106.0,28964.0,4219040.0,0.0,2987079.0
99,740043.0,504111.0,43838.0,30577.0,4139449.0,0.0,3086509.0
100,721450.0,498622.0,44486.0,32219.0,4063580.0,0.0,3184170.0
101,702128.0,492189.0,45050.0,33887.0,3991385.0,0.0,3279887.0
102,682226.0,484890.0,45529.0,35577.0,3922803.0,0.0,3373502.0
103,661885.0,476801.0,45920.0,37287.0,3857758.0,0.0,3464876.0
104,641236.0,468001.0,46225.0,39014.0,3796165.0,0.0,3553886.0
105,620401.0,458569.0,46444.0,40753.0,3737931.0,0.0,3640429.0
106,599490.0,448584.0,46577.0,42503.0,3682957.0,0.0,3724415.0
107,578605.0,438123.0,46628.0,44259.0,3631137.0,0.0,3805775.0
108,557836.0,427260.0,46596.0,46019.0,3582365.0,0.0,3884450.0
109,537265.0,416067.0,46486.0,47780.0,3536529.0,0.0,3960401.0
110,516961.0,404612.0,46300.0,49538.0,3493517.0,0.0,4033599.0
111,496986.0,392960.0,46041.0,51292.0,3453220.0,0.0,4104029.0
112,477394.0,381171.0,45712.0,53037.0,3415525.0,0.0,4171687.0
113,458228.0,369302.0,45318.0,54772.0,3380324.0,0.0,4236582.0
114,439527.0,357405.0,44862.0,56494.0,3347508.0,0.0,4298731.0
115,421320.0,345528.0,44348.0,58200.0,3316973.0,0.0,4358158.0
116,403631.0,333713.0,43780.0,59889.0,3288615.0,0.0,4414899.0
117,386478.0,322001.0,43162.0,61558.0,3262335.0,0.0,4468994.0
118,369874.0,310425.0,42499.0,63205.0,3238035.0,0.0,4520489.0
119,353827.0,299017.0,41795.0,64829.0,3215623.0,0.0,4569437.0
120,338341.0,287803.0,41053.0,66427.0,3195008.0,0.0,4615895.0
121,323417.0,276807.0,40278.0,67999.0,3176104.0,0.0,4659921.0
122,309052.0,266049.0,39475.0,69543.0,3158827.0,0.0,4701581.0
123,295242.0,255546.0,38646.0,71058.0,3143097.0,0.0,4740939.0
124,281978.0,245310.0,37795.0,72543.0,3128837.0,0.0,4778063.0
125,269252.0,235354.0,36926.0,73996.0,3115976.0,0.0,4813023.0
126,257051.0,225686.0,36043.0,75418.0,3104442.0,0.0,4845887.0
127,245365.0,216312.0,35149.0,76807.0,3094169.0,0.0,4876726.0
128,234179.0,207236.0,34246.0,78163.0,3085093.0,0.0,4905611.0
129,223479.0,198460.0,33338.0,79486.0,3077153.0,0.0,4932611.0
130,213250.0,189986.0,32428.0,80774.0,3070292.0,0.0,4957797.0
131,203477.0,181811.0,31517.0,82029.0,3064455.0,0.0,4981237.0
132,194144.0,173935.0,30609.0,83250.0,3059589.0,0.0,5003000.0
133,185236.0,166354.0,29705.0,84437.0,3055644.0,0.0,5023151.0
134,176736.0,159064.0,28807.0,85590.0,3052573.0,0.0,5041756.0
135,168629.0,152059.0,27918.0,86709.0,3050332.0,0.0,5058879.0
136,160900.0,145335.0,27039.0,87795.0,3048876.0,0.0,5074583.0
137,153532.0,138884.0,26172.0,88847.0,3048166.0,0.0,5088927.0
138,146511.0,132699.0,25317.0,89867.0,3048162.0,0.0,5101971.0
139,139822.0,126774.0,24476.0,90854.0,3048829.0,0.0,5113771.0
140,133451.0,121101.0,23650.0,91809.0,3050132.0,0.0,5124383.0
141,127383.0,115673.0,22840.0,92733.0,3052037.0,0.0,5133861.0
142,121605.0,110480.0,22047.0,93626.0,3054513.0,0.0,5142256.0
143,116104.0,105517.0,21272.0,94489.0,3057530.0,0.0,5149617.0
144,110867.0,100773.0,20514.0,95322.0,3061060.0,0.0,5155992.0
145,105881.0,96242.0,19775.0,96125.0,3065076.0,0.0,5161427.0
