,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544494.0,0.0,5.0
27,30.0,7.0,0.0,0.0,8544483.0,0.0,7.0
28,40.0,9.0,0.0,0.0,8544468.0,0.0,10.0
29,53.0,12.0,0.0,0.0,8544449.0,0.0,13.0
30,70.0,16.0,0.0,0.0,8544423.0,0.0,18.0
31,93.0,21.0,0.0,0.0,8544388.0,0.0,24.0
32,124.0,28.0,1.0,0.0,8544343.0,0.0,32.0
33,164.0,37.0,1.0,0.0,8544282.0,0.0,43.0
34,218.0,49.0,1.0,0.0,8544202.0,0.0,57.0
35,289.0,65.0,1.0,0.0,8544096.0,0.0,76.0
36,383.0,86.0,2.0,0.0,8543955.0,0.0,101.0
37,507.0,114.0,2.0,0.0,8543769.0,0.0,134.0
38,672.0,151.0,3.0,0.0,8543522.0,0.0,178.0
39,890.0,200.0,4.0,1.0,8543195.0,0.0,237.0
40,1179.0,265.0,6.0,1.0,8542762.0,0.0,314.0
41,1562.0,351.0,8.0,1.0,8542189.0,0.0,416.0
42,2068.0,466.0,10.0,1.0,8541430.0,0.0,552.0
43,2738.0,617.0,14.0,2.0,8540426.0,0.0,732.0
44,3625.0,816.0,18.0,2.0,8539096.0,0.0,970.0
45,4798.0,1081.0,24.0,3.0,8537337.0,0.0,1285.0
46,6350.0,1431.0,31.0,4.0,8535009.0,0.0,1702.0
47,8402.0,1894.0,41.0,5.0,8531930.0,0.0,2254.0
48,11115.0,2507.0,55.0,7.0,8527859.0,0.0,2984.0
49,14700.0,3318.0,73.0,9.0,8522478.0,0.0,3950.0
50,19434.0,4389.0,96.0,12.0,8515368.0,0.0,5228.0
51,20575.0,5581.0,127.0,16.0,8511424.0,0.0,6805.0
52,21946.0,6717.0,163.0,21.0,8507078.0,0.0,8602.0
53,23540.0,7826.0,206.0,28.0,8502305.0,0.0,10623.0
54,25355.0,8932.0,253.0,36.0,8497076.0,0.0,12875.0
55,27395.0,10056.0,304.0,46.0,8491358.0,0.0,15369.0
56,29664.0,11215.0,360.0,57.0,8485114.0,0.0,18117.0
57,32172.0,12426.0,420.0,71.0,8478302.0,0.0,21136.0
58,34930.0,13703.0,484.0,87.0,8470878.0,0.0,24444.0
59,37952.0,15061.0,553.0,106.0,8462792.0,0.0,28063.0
60,41255.0,16513.0,627.0,126.0,8453989.0,0.0,32016.0
61,44857.0,18072.0,705.0,150.0,8444413.0,0.0,36330.0
62,48778.0,19751.0,790.0,177.0,8433999.0,0.0,41033.0
63,53040.0,21562.0,880.0,206.0,8422681.0,0.0,46158.0
64,57668.0,23519.0,977.0,239.0,8410385.0,0.0,51739.0
65,62688.0,25635.0,1081.0,275.0,8397035.0,0.0,57814.0
66,68125.0,27925.0,1192.0,316.0,8382546.0,0.0,64423.0
67,74009.0,30403.0,1313.0,360.0,8366832.0,0.0,71610.0
68,80371.0,33084.0,1443.0,409.0,8349797.0,0.0,79423.0
69,87242.0,35984.0,1583.0,463.0,8331344.0,0.0,87912.0
70,94653.0,39120.0,1734.0,521.0,8311367.0,0.0,97131.0
71,102640.0,42508.0,1897.0,586.0,8289757.0,0.0,107139.0
72,111234.0,46168.0,2073.0,656.0,8266398.0,0.0,117998.0
73,120471.0,50115.0,2263.0,733.0,8241170.0,0.0,129773.0
74,130385.0,54371.0,2469.0,817.0,8213951.0,0.0,142535.0
75,141008.0,58953.0,2691.0,909.0,8184610.0,0.0,156357.0
76,152373.0,63881.0,2930.0,1008.0,8153016.0,0.0,171318.0
77,164510.0,69175.0,3188.0,1117.0,8119037.0,0.0,187500.0
78,177447.0,74854.0,3467.0,1235.0,8082535.0,0.0,204989.0
79,191209.0,80937.0,3767.0,1364.0,8043377.0,0.0,223874.0
80,205815.0,87442.0,4090.0,1503.0,8001428.0,0.0,244249.0
81,221281.0,94386.0,4438.0,1655.0,7956556.0,0.0,266211.0
82,237616.0,101786.0,4812.0,1819.0,7908636.0,0.0,289858.0
83,254821.0,109656.0,5213.0,1997.0,7857548.0,0.0,315292.0
84,272889.0,118007.0,5643.0,2191.0,7803181.0,0.0,342616.0
85,291805.0,126848.0,6104.0,2400.0,7745436.0,0.0,371934.0
86,311541.0,136187.0,6596.0,2626.0,7684228.0,0.0,403349.0
87,332058.0,146024.0,7122.0,2870.0,7619488.0,0.0,436964.0
88,353306.0,156357.0,7683.0,3134.0,7551167.0,0.0,472880.0
89,375220.0,167179.0,8280.0,3419.0,7479238.0,0.0,511192.0
90,397721.0,178477.0,8913.0,3725.0,7403696.0,0.0,551995.0
91,503965.0,193940.0,9595.0,4056.0,7235716.0,0.0,597255.0
92,626454.0,217603.0,10378.0,4412.0,7035510.0,0.0,650170.0
93,765183.0,249782.0,11323.0,4800.0,6800799.0,0.0,712640.0
94,918648.0,290683.0,12491.0,5225.0,6530909.0,0.0,786571.0
95,1083545.0,340263.0,13940.0,5698.0,6227305.0,0.0,873776.0
96,1254714.0,398100.0,15722.0,6229.0,5893911.0,0.0,975851.0
97,1425418.0,463287.0,17883.0,6832.0,5537074.0,0.0,1094033.0
98,1587991.0,534383.0,20459.0,7522.0,5165098.0,0.0,1229074.0
99,1734752.0,609449.0,23470.0,8315.0,4787397.0,0.0,1381143.0
100,1858978.0,686159.0,26921.0,9228.0,4413458.0,0.0,1549782.0
101,1955696.0,761986.0,30795.0,10277.0,4051850.0,0.0,1733923.0
102,2022129.0,834408.0,35059.0,11479.0,3709489.0,0.0,1931963.0
103,2057744.0,901115.0,39659.0,12848.0,3391285.0,0.0,2141876.0
104,2063959.0,960171.0,44527.0,14398.0,3100119.0,0.0,2361353.0
105,2043653.0,1010117.0,49583.0,16138.0,2837100.0,0.0,2587936.0
106,2000615.0,1050011.0,54738.0,18075.0,2601942.0,0.0,2819145.0
107,1939042.0,1079411.0,59902.0,20215.0,2393377.0,0.0,3052580.0
108,1863137.0,1098323.0,64985.0,22556.0,2209528.0,0.0,3285999.0
109,1776832.0,1107124.0,69902.0,25096.0,2048204.0,0.0,3517369.0
110,1683627.0,1106475.0,74577.0,27830.0,1907117.0,0.0,3744900.0
111,1586506.0,1097240.0,78942.0,30747.0,1784031.0,0.0,3967061.0
112,1487930.0,1080404.0,82942.0,33837.0,1676843.0,0.0,4182571.0
113,1389861.0,1057014.0,86531.0,37087.0,1583634.0,0.0,4390400.0
114,1293813.0,1028125.0,89677.0,40480.0,1502687.0,0.0,4589745.0
115,1200914.0,994760.0,92359.0,44000.0,1432481.0,0.0,4780014.0
116,1111964.0,957883.0,94564.0,47629.0,1371687.0,0.0,4960800.0
117,1027498.0,918381.0,96291.0,51349.0,1319147.0,0.0,5131861.0
118,947835.0,877053.0,97547.0,55143.0,1273855.0,0.0,5293094.0
119,873127.0,834605.0,98344.0,58991.0,1234944.0,0.0,5444515.0
120,803397.0,791650.0,98701.0,62877.0,1201661.0,0.0,5586241.0
121,738570.0,748709.0,98643.0,66783.0,1173355.0,0.0,5718467.0
122,678501.0,706221.0,98197.0,70693.0,1149463.0,0.0,5841453.0
123,622995.0,664545.0,97391.0,74592.0,1129495.0,0.0,5955509.0
124,571825.0,623969.0,96258.0,78465.0,1113028.0,0.0,6060982.0
125,524744.0,584721.0,94829.0,82299.0,1099689.0,0.0,6158244.0
126,481493.0,546971.0,93138.0,86084.0,1089154.0,0.0,6247688.0
127,441814.0,510841.0,91215.0,89807.0,1081139.0,0.0,6329711.0
128,405451.0,476414.0,89092.0,93460.0,1075393.0,0.0,6404717.0
129,372155.0,443736.0,86799.0,97034.0,1071696.0,0.0,6473106.0
130,341688.0,412825.0,84365.0,100522.0,1069853.0,0.0,6535274.0
131,313822.0,383677.0,81816.0,103919.0,1069689.0,0.0,6591604.0
132,288345.0,356266.0,79178.0,107219.0,1071049.0,0.0,6642470.0
133,265057.0,330553.0,76473.0,110418.0,1073797.0,0.0,6688230.0
134,243772.0,306485.0,73723.0,113513.0,1077807.0,0.0,6729227.0
135,224319.0,284002.0,70946.0,116502.0,1082969.0,0.0,6765788.0
136,206537.0,263037.0,68162.0,119383.0,1089183.0,0.0,6798225.0
137,190282.0,243518.0,65384.0,122156.0,1096358.0,0.0,6826829.0
138,175417.0,225372.0,62627.0,124821.0,1104412.0,0.0,6851878.0
139,161821.0,208523.0,59902.0,127377.0,1113272.0,0.0,6873632.0
140,149381.0,192897.0,57220.0,129826.0,1122869.0,0.0,6892334.0
141,137994.0,178418.0,54591.0,132170.0,1133143.0,0.0,6908211.0
142,127566.0,165016.0,52021.0,134409.0,1144037.0,0.0,6921478.0
143,118013.0,152619.0,49518.0,136547.0,1155500.0,0.0,6932331.0
144,109256.0,141159.0,47085.0,138584.0,1167487.0,0.0,6940956.0
145,101225.0,130573.0,44727.0,140525.0,1179953.0,0.0,6947524.0
