,Infected asymptomatic,Infected symptomatic,Critical Cases,Deceased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,5.0,1.0,0.0,0.0,8544520.0,0.0,1.0
22,7.0,1.0,0.0,0.0,8544517.0,0.0,1.0
23,9.0,2.0,0.0,0.0,8544514.0,0.0,2.0
24,13.0,3.0,0.0,0.0,8544509.0,0.0,3.0
25,17.0,4.0,0.0,0.0,8544503.0,0.0,4.0
26,22.0,5.0,0.0,0.0,8544495.0,0.0,5.0
27,28.0,6.0,0.0,0.0,8544485.0,0.0,7.0
28,36.0,8.0,0.0,0.0,8544473.0,0.0,10.0
29,47.0,11.0,0.0,0.0,8544456.0,0.0,13.0
30,60.0,14.0,0.0,0.0,8544435.0,0.0,17.0
31,77.0,18.0,0.0,0.0,8544409.0,0.0,22.0
32,99.0,24.0,1.0,0.0,8544374.0,0.0,29.0
33,128.0,31.0,1.0,0.0,8544330.0,0.0,38.0
34,164.0,40.0,1.0,0.0,8544273.0,0.0,49.0
35,211.0,51.0,1.0,0.0,8544200.0,0.0,63.0
36,271.0,66.0,2.0,0.0,8544106.0,0.0,82.0
37,349.0,84.0,2.0,0.0,8543986.0,0.0,106.0
38,448.0,108.0,3.0,0.0,8543831.0,0.0,137.0
39,575.0,139.0,3.0,0.0,8543633.0,0.0,176.0
40,738.0,179.0,4.0,1.0,8543378.0,0.0,227.0
41,948.0,230.0,5.0,1.0,8543051.0,0.0,292.0
42,1217.0,295.0,7.0,1.0,8542631.0,0.0,376.0
43,1562.0,379.0,9.0,1.0,8542092.0,0.0,483.0
44,2005.0,486.0,12.0,2.0,8541401.0,0.0,621.0
45,2573.0,624.0,15.0,2.0,8540514.0,0.0,798.0
46,3415.0,806.0,19.0,3.0,8539256.0,0.0,1028.0
47,4527.0,1050.0,25.0,3.0,8537591.0,0.0,1330.0
48,5997.0,1377.0,32.0,4.0,8535389.0,0.0,1727.0
49,7941.0,1811.0,41.0,6.0,8532476.0,0.0,2252.0
50,10509.0,2387.0,54.0,7.0,8528624.0,0.0,2945.0
51,13902.0,3151.0,71.0,10.0,8523533.0,0.0,3861.0
52,18383.0,4163.0,93.0,12.0,8516806.0,0.0,5071.0
53,24295.0,5500.0,122.0,16.0,8507924.0,0.0,6670.0
54,32088.0,7267.0,161.0,21.0,8496207.0,0.0,8784.0
55,42347.0,9598.0,212.0,28.0,8480767.0,0.0,11575.0
56,55827.0,12672.0,280.0,36.0,8460453.0,0.0,15258.0
57,73499.0,16717.0,369.0,48.0,8433779.0,0.0,20115.0
58,96595.0,22032.0,487.0,63.0,8398841.0,0.0,26510.0
59,126655.0,28995.0,642.0,83.0,8353236.0,0.0,34916.0
60,165575.0,38091.0,846.0,109.0,8293964.0,0.0,45942.0
61,215618.0,49921.0,1114.0,143.0,8217366.0,0.0,60364.0
62,279396.0,65225.0,1464.0,189.0,8119095.0,0.0,79158.0
63,359759.0,84886.0,1920.0,248.0,7994179.0,0.0,103535.0
64,459566.0,109923.0,2513.0,327.0,7837234.0,0.0,134964.0
65,581295.0,141457.0,3277.0,429.0,7642882.0,0.0,175187.0
66,726466.0,180634.0,4256.0,562.0,7406414.0,0.0,226196.0
67,894921.0,228503.0,5499.0,734.0,7124697.0,0.0,290172.0
68,1084097.0,285846.0,7060.0,957.0,6797197.0,0.0,369370.0
69,1288513.0,352966.0,8995.0,1242.0,6426857.0,0.0,465953.0
70,1499762.0,429487.0,11361.0,1604.0,6020539.0,0.0,581774.0
71,1707199.0,514214.0,14204.0,2061.0,5588695.0,0.0,718153.0
72,1899294.0,605098.0,17561.0,2630.0,5144256.0,0.0,875688.0
73,2065322.0,699360.0,21446.0,3331.0,4700932.0,0.0,1054136.0
74,2196930.0,793739.0,25854.0,4184.0,4271429.0,0.0,1252389.0
75,2289118.0,884831.0,30752.0,5210.0,3866048.0,0.0,1468567.0
76,2340469.0,969427.0,36084.0,6427.0,3491954.0,0.0,1700166.0
77,2352715.0,1044799.0,41769.0,7850.0,3153131.0,0.0,1944263.0
78,2329907.0,1108877.0,47711.0,9495.0,2850818.0,0.0,2197719.0
79,2277475.0,1160327.0,53802.0,11369.0,2584189.0,0.0,2457365.0
80,2201386.0,1198530.0,59930.0,13479.0,2351057.0,0.0,2720145.0
81,2107516.0,1223498.0,65981.0,15827.0,2148478.0,0.0,2983227.0
82,2001242.0,1235754.0,71850.0,18409.0,1973201.0,0.0,3244070.0
83,1887222.0,1236204.0,77440.0,21220.0,1821978.0,0.0,3500462.0
84,1769322.0,1226013.0,82668.0,24249.0,1691742.0,0.0,3750533.0
85,1650633.0,1206494.0,87463.0,27483.0,1579706.0,0.0,3992747.0
86,1533540.0,1179022.0,91772.0,30905.0,1483402.0,0.0,4225886.0
87,1419813.0,1144963.0,95554.0,34499.0,1400675.0,0.0,4449023.0
88,1310714.0,1105625.0,98783.0,38243.0,1329669.0,0.0,4661493.0
89,1207086.0,1062225.0,101448.0,42117.0,1268792.0,0.0,4862859.0
90,1109443.0,1015864.0,103547.0,46101.0,1216690.0,0.0,5052882.0
91,1018043.0,967525.0,105088.0,50171.0,1172207.0,0.0,5231493.0
92,932947.0,918062.0,106090.0,54308.0,1134362.0,0.0,5398758.0
93,854075.0,868205.0,106577.0,58491.0,1102319.0,0.0,5554860.0
94,781243.0,818570.0,106578.0,62699.0,1075365.0,0.0,5700072.0
95,714196.0,769663.0,106126.0,66914.0,1052890.0,0.0,5834738.0
96,652631.0,721892.0,105260.0,71118.0,1034371.0,0.0,5959256.0
97,596219.0,675580.0,104015.0,75295.0,1019359.0,0.0,6074060.0
98,544619.0,630970.0,102432.0,79429.0,1007464.0,0.0,6179612.0
99,497487.0,588243.0,100548.0,83508.0,998352.0,0.0,6276389.0
100,454486.0,547520.0,98403.0,87519.0,991727.0,0.0,6364872.0
101,415288.0,508875.0,96032.0,91451.0,987336.0,0.0,6445544.0
102,379582.0,472345.0,93472.0,95296.0,984953.0,0.0,6518879.0
103,347073.0,437929.0,90755.0,99045.0,984381.0,0.0,6585343.0
104,317486.0,405606.0,87913.0,102692.0,985446.0,0.0,6645384.0
105,290563.0,375330.0,84974.0,106230.0,987993.0,0.0,6699436.0
106,266067.0,347040.0,81966.0,109657.0,991884.0,0.0,6747913.0
107,243778.0,320663.0,78912.0,112969.0,996997.0,0.0,6791208.0
108,223496.0,296117.0,75834.0,116162.0,1003222.0,0.0,6829696.0
109,205035.0,273315.0,72752.0,119237.0,1010459.0,0.0,6863728.0
110,188228.0,252166.0,69683.0,122192.0,1018621.0,0.0,6893636.0
111,172922.0,232578.0,66643.0,125027.0,1027626.0,0.0,6919731.0
112,158976.0,214457.0,63644.0,127743.0,1037402.0,0.0,6942305.0
113,146265.0,197711.0,60699.0,130342.0,1047883.0,0.0,6961627.0
114,134673.0,182252.0,57816.0,132824.0,1059010.0,0.0,6977953.0
115,124096.0,167993.0,55004.0,135192.0,1070727.0,0.0,6991515.0
116,114440.0,154850.0,52269.0,137449.0,1082986.0,0.0,7002533.0
117,105619.0,142744.0,49618.0,139597.0,1095740.0,0.0,7011209.0
118,97557.0,131599.0,47053.0,141640.0,1108948.0,0.0,7017730.0
119,90184.0,121344.0,44578.0,143579.0,1122572.0,0.0,7022270.0
120,83436.0,111911.0,42196.0,145420.0,1136578.0,0.0,7024987.0
121,77256.0,103237.0,39907.0,147165.0,1150933.0,0.0,7026030.0
122,71593.0,95264.0,37711.0,148818.0,1165607.0,0.0,7025534.0
123,66400.0,87935.0,35610.0,150382.0,1180575.0,0.0,7023626.0
124,61634.0,81201.0,33602.0,151860.0,1195810.0,0.0,7020420.0
125,57258.0,75012.0,31685.0,153258.0,1211290.0,0.0,7016023.0
126,53237.0,69325.0,29859.0,154577.0,1226995.0,0.0,7010533.0
127,49540.0,64099.0,28122.0,155823.0,1242903.0,0.0,7004040.0
128,46138.0,59297.0,26470.0,156997.0,1258999.0,0.0,6996626.0
129,43006.0,54884.0,24903.0,158103.0,1275264.0,0.0,6988368.0
130,40119.0,50827.0,23416.0,159146.0,1291683.0,0.0,6979336.0
131,37458.0,47097.0,22008.0,160127.0,1308243.0,0.0,6969593.0
132,35003.0,43667.0,20676.0,161050.0,1324930.0,0.0,6959200.0
133,32736.0,40512.0,19417.0,161919.0,1341733.0,0.0,6948211.0
134,30642.0,37609.0,18227.0,162735.0,1358639.0,0.0,6936675.0
135,28705.0,34938.0,17105.0,163502.0,1375639.0,0.0,6924638.0
136,26914.0,32478.0,16046.0,164223.0,1392723.0,0.0,6912143.0
137,25256.0,30213.0,15048.0,164900.0,1409881.0,0.0,6899228.0
138,23720.0,28126.0,14109.0,165535.0,1427107.0,0.0,6885930.0
139,22297.0,26203.0,13224.0,166131.0,1444392.0,0.0,6872280.0
140,20977.0,24429.0,12393.0,166691.0,1461728.0,0.0,6858309.0
141,19751.0,22793.0,11611.0,167215.0,1479111.0,0.0,6844046.0
142,18614.0,21283.0,10877.0,167707.0,1496532.0,0.0,6829515.0
143,17556.0,19889.0,10187.0,168168.0,1513987.0,0.0,6814739.0
144,16574.0,18601.0,9540.0,168600.0,1531470.0,0.0,6799742.0
145,15659.0,17411.0,8933.0,169005.0,1548977.0,0.0,6784541.0
