,Infected asymptomatic,Infected symptomatic,Critical Cases,Deceased,Susceptible,Isolated,Recovered
0,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
1,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
2,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
3,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
4,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
5,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
7,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
9,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
11,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
13,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
14,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
15,0.0,0.0,0.0,0.0,8544527.0,0.0,0.0
16,1.0,0.0,0.0,0.0,8544526.0,0.0,0.0
17,2.0,0.0,0.0,0.0,8544525.0,0.0,0.0
18,2.0,0.0,0.0,0.0,8544524.0,0.0,0.0
19,3.0,0.0,0.0,0.0,8544523.0,0.0,0.0
20,4.0,1.0,0.0,0.0,8544522.0,0.0,1.0
21,4.0,1.0,0.0,0.0,8544521.0,0.0,1.0
22,4.0,1.0,0.0,0.0,8544520.0,0.0,1.0
23,5.0,1.0,0.0,0.0,8544519.0,0.0,2.0
24,5.0,2.0,0.0,0.0,8544518.0,0.0,2.0
25,6.0,2.0,0.0,0.0,8544517.0,0.0,3.0
26,6.0,2.0,0.0,0.0,8544515.0,0.0,3.0
27,7.0,3.0,0.0,0.0,8544514.0,0.0,4.0
28,7.0,3.0,0.0,0.0,8544512.0,0.0,4.0
29,8.0,3.0,0.0,0.0,8544510.0,0.0,5.0
30,9.0,3.0,0.0,0.0,8544509.0,0.0,6.0
31,10.0,4.0,0.0,0.0,8544506.0,0.0,7.0
32,11.0,4.0,0.0,0.0,8544504.0,0.0,8.0
33,12.0,5.0,0.0,0.0,8544502.0,0.0,9.0
34,13.0,5.0,0.0,0.0,8544499.0,0.0,10.0
35,14.0,6.0,0.0,0.0,8544496.0,0.0,12.0
36,15.0,6.0,0.0,0.0,8544492.0,0.0,13.0
37,17.0,7.0,0.0,0.0,8544489.0,0.0,15.0
38,18.0,7.0,0.0,0.0,8544485.0,0.0,16.0
39,20.0,8.0,0.0,0.0,8544481.0,0.0,18.0
40,22.0,9.0,0.0,0.0,8544476.0,0.0,20.0
41,24.0,10.0,0.0,0.0,8544471.0,0.0,23.0
42,26.0,10.0,0.0,0.0,8544465.0,0.0,25.0
43,28.0,11.0,1.0,0.0,8544459.0,0.0,28.0
44,31.0,12.0,1.0,0.0,8544452.0,0.0,31.0
45,34.0,14.0,1.0,0.0,8544445.0,0.0,34.0
46,37.0,15.0,1.0,0.0,8544437.0,0.0,37.0
47,40.0,16.0,1.0,0.0,8544428.0,0.0,41.0
48,44.0,18.0,1.0,0.0,8544418.0,0.0,46.0
49,48.0,19.0,1.0,0.0,8544408.0,0.0,50.0
50,53.0,21.0,1.0,0.0,8544397.0,0.0,55.0
51,58.0,23.0,1.0,0.0,8544384.0,0.0,61.0
52,63.0,25.0,1.0,0.0,8544370.0,0.0,67.0
53,69.0,28.0,1.0,0.0,8544356.0,0.0,73.0
54,75.0,30.0,1.0,0.0,8544339.0,0.0,81.0
55,82.0,33.0,1.0,1.0,8544322.0,0.0,88.0
56,89.0,36.0,2.0,1.0,8544302.0,0.0,97.0
57,98.0,40.0,2.0,1.0,8544281.0,0.0,106.0
58,107.0,43.0,2.0,1.0,8544258.0,0.0,116.0
59,116.0,47.0,2.0,1.0,8544233.0,0.0,128.0
60,127.0,51.0,2.0,1.0,8544205.0,0.0,140.0
61,139.0,56.0,3.0,1.0,8544175.0,0.0,153.0
62,152.0,61.0,3.0,1.0,8544143.0,0.0,168.0
63,165.0,67.0,3.0,1.0,8544107.0,0.0,183.0
64,181.0,73.0,3.0,1.0,8544068.0,0.0,201.0
65,197.0,80.0,4.0,1.0,8544025.0,0.0,220.0
66,215.0,87.0,4.0,2.0,8543979.0,0.0,240.0
67,235.0,95.0,4.0,2.0,8543928.0,0.0,263.0
68,257.0,104.0,5.0,2.0,8543872.0,0.0,287.0
69,280.0,114.0,5.0,2.0,8543812.0,0.0,314.0
70,306.0,124.0,6.0,2.0,8543746.0,0.0,344.0
71,334.0,135.0,6.0,2.0,8543674.0,0.0,376.0
72,365.0,148.0,7.0,3.0,8543595.0,0.0,410.0
73,398.0,161.0,7.0,3.0,8543509.0,0.0,449.0
74,435.0,176.0,8.0,3.0,8543415.0,0.0,490.0
75,474.0,192.0,9.0,3.0,8543312.0,0.0,536.0
76,518.0,210.0,9.0,4.0,8543201.0,0.0,585.0
77,565.0,229.0,10.0,4.0,8543079.0,0.0,639.0
78,617.0,250.0,11.0,4.0,8542945.0,0.0,699.0
79,674.0,273.0,12.0,5.0,8542800.0,0.0,763.0
80,735.0,298.0,13.0,5.0,8542641.0,0.0,834.0
81,803.0,326.0,15.0,6.0,8542468.0,0.0,910.0
82,876.0,356.0,16.0,6.0,8542279.0,0.0,994.0
83,956.0,388.0,17.0,7.0,8542072.0,0.0,1086.0
84,1044.0,424.0,19.0,8.0,8541847.0,0.0,1186.0
85,1139.0,462.0,21.0,8.0,8541601.0,0.0,1295.0
86,1244.0,505.0,23.0,9.0,8541332.0,0.0,1414.0
87,1358.0,551.0,25.0,10.0,8541039.0,0.0,1545.0
88,1482.0,602.0,27.0,11.0,8540719.0,0.0,1687.0
89,1617.0,657.0,29.0,12.0,8540370.0,0.0,1842.0
90,1765.0,717.0,32.0,13.0,8539989.0,0.0,2011.0
91,1927.0,782.0,35.0,14.0,8539573.0,0.0,2195.0
92,2103.0,854.0,38.0,15.0,8539119.0,0.0,2397.0
93,2295.0,932.0,42.0,17.0,8538624.0,0.0,2617.0
94,2505.0,1017.0,46.0,18.0,8538083.0,0.0,2857.0
95,2734.0,1110.0,50.0,20.0,8537494.0,0.0,3119.0
96,3717.0,1244.0,54.0,22.0,8536069.0,0.0,3421.0
97,4999.0,1461.0,60.0,24.0,8534188.0,0.0,3796.0
98,6679.0,1781.0,67.0,26.0,8531701.0,0.0,4273.0
99,8890.0,2231.0,77.0,29.0,8528414.0,0.0,4887.0
100,11801.0,2849.0,90.0,32.0,8524069.0,0.0,5686.0
101,15639.0,3684.0,107.0,35.0,8518329.0,0.0,6733.0
102,20699.0,4803.0,130.0,39.0,8510747.0,0.0,8109.0
103,27366.0,6292.0,162.0,44.0,8500742.0,0.0,9920.0
104,36145.0,8269.0,204.0,51.0,8487550.0,0.0,12309.0
105,47688.0,10883.0,260.0,59.0,8470179.0,0.0,15459.0
106,62837.0,14332.0,335.0,70.0,8447343.0,0.0,19611.0
107,82666.0,18873.0,434.0,83.0,8417391.0,0.0,25079.0
108,108533.0,24836.0,565.0,101.0,8378219.0,0.0,32273.0
109,142125.0,32641.0,738.0,124.0,8327179.0,0.0,41720.0
110,185489.0,42820.0,966.0,154.0,8261003.0,0.0,54095.0
111,241043.0,56031.0,1266.0,193.0,8175740.0,0.0,70255.0
112,311512.0,73074.0,1657.0,244.0,8066768.0,0.0,91271.0
113,399783.0,94890.0,2167.0,312.0,7928913.0,0.0,118462.0
114,508604.0,122547.0,2827.0,400.0,7756737.0,0.0,153412.0
115,640119.0,157186.0,3676.0,515.0,7545060.0,0.0,197972.0
116,795222.0,199927.0,4760.0,664.0,7289734.0,0.0,254220.0
117,972811.0,251727.0,6131.0,857.0,6988616.0,0.0,324386.0
118,1169123.0,313188.0,7843.0,1104.0,6642563.0,0.0,410705.0
119,1377406.0,384346.0,9954.0,1421.0,6256167.0,0.0,515232.0
120,1588193.0,464490.0,12516.0,1821.0,5837889.0,0.0,639618.0
121,1790286.0,552056.0,15573.0,2323.0,5399395.0,0.0,784894.0
122,1972308.0,644667.0,19151.0,2946.0,4954146.0,0.0,951308.0
123,2124398.0,739307.0,23259.0,3710.0,4515607.0,0.0,1138246.0
124,2239558.0,832616.0,27878.0,4634.0,4095580.0,0.0,1344261.0
125,2314330.0,921237.0,32965.0,5739.0,3703070.0,0.0,1567186.0
126,2348713.0,1002142.0,38454.0,7041.0,3343859.0,0.0,1804318.0
127,2345529.0,1072869.0,44257.0,8557.0,3020693.0,0.0,2052622.0
128,2309516.0,1131661.0,50272.0,10298.0,2733851.0,0.0,2308930.0
129,2246412.0,1177494.0,56388.0,12271.0,2481854.0,0.0,2570108.0
130,2162200.0,1210029.0,62493.0,14481.0,2262137.0,0.0,2833188.0
131,2062572.0,1229509.0,68475.0,16929.0,2071586.0,0.0,3095456.0
132,1952612.0,1236634.0,74233.0,19608.0,1906928.0,0.0,3354512.0
133,1836639.0,1232433.0,79676.0,22512.0,1764978.0,0.0,3608289.0
134,1718182.0,1218144.0,84724.0,25628.0,1642787.0,0.0,3855062.0
135,1600020.0,1195113.0,89316.0,28943.0,1537703.0,0.0,4093432.0
136,1484263.0,1164718.0,93403.0,32439.0,1447394.0,0.0,4322310.0
137,1372456.0,1128303.0,96952.0,36097.0,1369837.0,0.0,4540883.0
138,1265670.0,1087139.0,99941.0,39897.0,1303293.0,0.0,4748587.0
139,1164600.0,1042395.0,102364.0,43819.0,1246276.0,0.0,4945072.0
140,1069642.0,995124.0,104224.0,47841.0,1197521.0,0.0,5130175.0
141,980967.0,946250.0,105534.0,51940.0,1155949.0,0.0,5303886.0
142,898570.0,896575.0,106315.0,56098.0,1120645.0,0.0,5466325.0
143,822323.0,846780.0,106592.0,60292.0,1090826.0,0.0,5617714.0
144,752010.0,797431.0,106398.0,64503.0,1065827.0,0.0,5758357.0
145,687353.0,748993.0,105766.0,68714.0,1045076.0,0.0,5888624.0
146,628036.0,701836.0,104736.0,72907.0,1028083.0,0.0,6008929.0
147,573726.0,656247.0,103344.0,77066.0,1014426.0,0.0,6119719.0
148,524078.0,612442.0,101630.0,81177.0,1003738.0,0.0,6221461.0
149,478752.0,570575.0,99633.0,85227.0,995704.0,0.0,6314637.0
150,437413.0,530747.0,97389.0,89204.0,990046.0,0.0,6399728.0
151,399741.0,493015.0,94936.0,93099.0,986523.0,0.0,6477213.0
152,365433.0,457399.0,92307.0,96903.0,984921.0,0.0,6547563.0
